,realtime_start,date,value
377,2011-04-29,1995-07-01,134730.0
378,2012-04-30,1995-07-01,134311.0
379,2018-06-12,1995-07-01,134286.0
380,2001-06-15,1995-08-01,137213.0
381,2002-02-20,1995-08-01,137303.0
382,2002-05-03,1995-08-01,137382.0
383,2003-04-30,1995-08-01,137830.0
384,2004-03-30,1995-08-01,137838.0
385,2004-04-02,1995-08-01,137814.0
386,2005-03-31,1995-08-01,134515.0
387,2006-03-30,1995-08-01,135302.0
388,2011-04-29,1995-08-01,135315.0
389,2012-04-30,1995-08-01,135074.0
390,2013-05-31,1995-08-01,135075.0
391,2018-06-12,1995-08-01,135069.0
392,2001-06-15,1995-09-01,137565.0
393,2002-02-20,1995-09-01,137654.0
394,2002-05-03,1995-09-01,137713.0
395,2003-04-30,1995-09-01,138191.0
396,2004-03-30,1995-09-01,138199.0
397,2004-04-02,1995-09-01,138182.0
398,2005-03-31,1995-09-01,134810.0
399,2006-03-30,1995-09-01,135528.0
400,2011-04-29,1995-09-01,135541.0
401,2012-04-30,1995-09-01,135185.0
402,2013-05-31,1995-09-01,135191.0
403,2018-06-12,1995-09-01,135210.0
404,2001-06-15,1995-10-01,136373.0
405,2002-02-20,1995-10-01,136551.0
406,2002-05-03,1995-10-01,136607.0
407,2003-04-30,1995-10-01,136989.0
408,2004-03-30,1995-10-01,136953.0
409,2004-04-02,1995-10-01,136958.0
410,2005-03-31,1995-10-01,133728.0
411,2006-03-30,1995-10-01,134648.0
412,2011-04-29,1995-10-01,134636.0
413,2012-04-30,1995-10-01,134304.0
414,2018-06-12,1995-10-01,134317.0
415,2001-06-15,1995-11-01,137732.0
416,2002-02-20,1995-11-01,137822.0
417,2002-05-03,1995-11-01,137956.0
418,2003-04-30,1995-11-01,138533.0
419,2004-03-30,1995-11-01,138515.0
420,2004-04-02,1995-11-01,138520.0
421,2005-03-31,1995-11-01,135069.0
422,2006-03-30,1995-11-01,135935.0
423,2011-04-29,1995-11-01,135962.0
424,2012-04-30,1995-11-01,135764.0
425,2013-05-31,1995-11-01,135759.0
426,2018-06-12,1995-11-01,135761.0
427,2001-06-15,1995-12-01,138721.0
428,2002-02-20,1995-12-01,138901.0
429,2002-05-03,1995-12-01,138982.0
430,2003-04-30,1995-12-01,139617.0
431,2004-03-30,1995-12-01,139768.0
432,2004-04-02,1995-12-01,139775.0
433,2005-03-31,1995-12-01,136248.0
434,2006-03-30,1995-12-01,137149.0
435,2011-04-29,1995-12-01,137123.0
436,2012-04-30,1995-12-01,136729.0
437,2013-05-31,1995-12-01,136734.0
438,2018-06-12,1995-12-01,136712.0
439,2001-06-15,1996-01-01,137518.0
440,2002-02-20,1996-01-01,137607.0
441,2002-05-03,1996-01-01,137493.0
442,2003-04-30,1996-01-01,137657.0
443,2004-03-30,1996-01-01,137793.0
444,2004-04-02,1996-01-01,137748.0
445,2005-03-31,1996-01-01,134605.0
446,2006-03-30,1996-01-01,135167.0
447,2011-04-29,1996-01-01,135154.0
448,2012-04-30,1996-01-01,134926.0
449,2018-06-12,1996-01-01,134906.0
450,2001-06-15,1996-02-01,138916.0
451,2002-02-20,1996-02-01,139006.0
452,2002-05-03,1996-02-01,138967.0
453,2003-04-30,1996-02-01,139578.0
454,2004-03-30,1996-02-01,139486.0
455,2004-04-02,1996-02-01,139488.0
456,2005-03-31,1996-02-01,136206.0
457,2006-03-30,1996-02-01,137199.0
458,2012-04-30,1996-02-01,136781.0
459,2018-06-12,1996-02-01,136779.0
460,2001-06-15,1996-03-01,139728.0
461,2002-02-20,1996-03-01,139818.0
462,2002-05-03,1996-03-01,139658.0
463,2003-04-30,1996-03-01,140479.0
464,2004-03-30,1996-03-01,140432.0
465,2004-04-02,1996-03-01,140435.0
466,2005-03-31,1996-03-01,137101.0
467,2006-03-30,1996-03-01,137944.0
468,2011-04-29,1996-03-01,137931.0
469,2012-04-30,1996-03-01,137522.0
470,2013-05-31,1996-03-01,137527.0
471,2018-06-12,1996-03-01,137550.0
472,2001-06-15,1996-04-01,139599.0
473,2002-02-20,1996-04-01,139688.0
474,2002-05-03,1996-04-01,139600.0
475,2003-04-30,1996-04-01,140012.0
476,2004-03-30,1996-04-01,139987.0
477,2004-04-02,1996-04-01,139964.0
478,2005-03-31,1996-04-01,136860.0
479,2006-03-30,1996-04-01,137787.0
480,2012-04-30,1996-04-01,137504.0
481,2018-06-12,1996-04-01,137525.0
482,2001-06-15,1996-05-01,140009.0
483,2002-02-20,1996-05-01,140098.0
484,2002-05-03,1996-05-01,140214.0
485,2003-04-30,1996-05-01,140983.0
486,2004-03-30,1996-05-01,140982.0
487,2004-04-02,1996-05-01,141017.0
488,2005-03-31,1996-05-01,137650.0
489,2006-03-30,1996-05-01,138530.0
490,2011-04-29,1996-05-01,138554.0
491,2012-04-30,1996-05-01,138306.0
492,2013-05-31,1996-05-01,138302.0
493,2018-06-12,1996-05-01,138299.0
494,2001-06-15,1996-06-01,140281.0
495,2002-02-20,1996-06-01,140371.0
496,2002-05-03,1996-06-01,140375.0
497,2003-04-30,1996-06-01,140922.0
498,2004-03-30,1996-06-01,140906.0
499,2004-04-02,1996-06-01,140901.0
500,2005-03-31,1996-06-01,137456.0
501,2006-03-30,1996-06-01,138290.0
502,2011-04-29,1996-06-01,138278.0
503,2012-04-30,1996-06-01,137881.0
504,2018-06-12,1996-06-01,137886.0
505,2001-06-15,1996-07-01,140133.0
506,2002-02-20,1996-07-01,140222.0
507,2002-05-03,1996-07-01,140132.0
508,2003-04-30,1996-07-01,140687.0
509,2004-03-30,1996-07-01,140692.0
510,2004-04-02,1996-07-01,140682.0
511,2005-03-31,1996-07-01,137326.0
512,2006-03-30,1996-07-01,138087.0
513,2012-04-30,1996-07-01,137817.0
514,2013-05-31,1996-07-01,137818.0
515,2018-06-12,1996-07-01,137791.0
516,2001-06-15,1996-08-01,139840.0
517,2002-02-20,1996-08-01,139929.0
518,2002-05-03,1996-08-01,139962.0
519,2003-04-30,1996-08-01,140333.0
520,2004-03-30,1996-08-01,140304.0
521,2004-04-02,1996-08-01,140313.0
522,2005-03-31,1996-08-01,137022.0
523,2006-03-30,1996-08-01,137975.0
524,2011-04-29,1996-08-01,137951.0
525,2012-04-30,1996-08-01,137625.0
526,2013-05-31,1996-08-01,137630.0
527,2018-06-12,1996-08-01,137632.0
528,2001-06-15,1996-09-01,141010.0
529,2002-02-20,1996-09-01,141100.0
530,2002-05-03,1996-09-01,141110.0
531,2003-04-30,1996-09-01,141763.0
532,2004-03-30,1996-09-01,141692.0
533,2004-04-02,1996-09-01,141699.0
534,2005-03-31,1996-09-01,138375.0
535,2006-03-30,1996-09-01,139339.0
536,2011-04-29,1996-09-01,139392.0
537,2012-04-30,1996-09-01,139030.0
538,2013-05-31,1996-09-01,139023.0
539,2018-06-12,1996-09-01,139034.0
540,2001-06-15,1996-10-01,141778.0
541,2002-02-20,1996-10-01,141868.0
542,2002-05-03,1996-10-01,142002.0
543,2003-04-30,1996-10-01,142458.0
544,2004-03-30,1996-10-01,142461.0
545,2004-04-02,1996-10-01,142473.0
546,2005-03-31,1996-10-01,139098.0
547,2006-03-30,1996-10-01,139976.0
548,2012-04-30,1996-10-01,139721.0
549,2018-06-12,1996-10-01,139735.0
